"start_lat","start_lng","member_casual","mean_duration"
41.76,-87.64,"member",19
41.76,-87.61,"casual",14
41.76,-87.61,"member",16
41.76,-87.6,"casual",18
41.76,-87.6,"member",14
41.76,-87.59,"casual",17
41.76,-87.59,"member",11
41.76,-87.58,"casual",15
41.76,-87.58,"member",16
41.76,-87.56,"casual",19
41.76,-87.56,"member",20
41.76161,-87.64416,"casual",25
41.76161,-87.64416,"member",19
41.76219,-87.55927,"casual",29
41.76219,-87.55927,"member",20
41.76529,-87.62175,"casual",21
41.76529,-87.62175,"member",16
41.76551,-87.61692,"casual",17
41.76551,-87.61692,"member",16
41.76572,-87.60496,"casual",17
41.76572,-87.60496,"member",17
41.766,-87.61173,"casual",21
41.766,-87.61173,"member",19
41.76641,-87.56569,"casual",34
41.76641,-87.56569,"member",21
41.76649,-87.58646,"casual",18
41.76649,-87.58646,"member",16
41.76664,-87.57645,"casual",19
41.76664,-87.57645,"member",20
41.7689,-87.63588,"casual",9
41.7689,-87.63588,"member",14
41.76894,-87.65293,"casual",14
41.76894,-87.65293,"member",19
41.76906,-87.64461,"casual",10
41.76906,-87.64461,"member",14
41.76929,-87.6282,"casual",13
41.76929,-87.6282,"member",14
41.77,-87.73,"casual",16
41.77,-87.73,"member",17
41.77,-87.72,"casual",12
41.77,-87.72,"member",12
41.77,-87.69,"casual",20
41.77,-87.69,"member",15
41.77,-87.67,"casual",11
41.77,-87.67,"member",22
41.77,-87.66,"casual",26
41.77,-87.66,"member",18
41.77,-87.62,"casual",13
41.77,-87.62,"member",13
41.77,-87.61,"casual",14
41.77,-87.61,"member",14
41.77,-87.59,"casual",13
41.77,-87.59,"member",15
41.77,-87.58,"casual",13
41.77,-87.58,"member",12
41.77,-87.57,"casual",16
41.77,-87.57,"member",17
41.77,-87.56,"casual",21
41.77,-87.56,"member",20
41.77346,-87.58534,"casual",24
41.77346,-87.58534,"member",17
41.77352,-87.57714,"casual",26
41.77352,-87.57714,"member",16
41.77364,-87.56751,"casual",37
41.77364,-87.56751,"member",20
41.77372,-87.60563,"casual",16
41.77372,-87.60563,"member",14
41.77407,-87.66382,"casual",19
41.77407,-87.66382,"member",20
41.77539,-87.65431,"casual",22
41.77539,-87.65431,"member",16
41.77888,-87.58665,"casual",24
41.77888,-87.58665,"member",18
41.77937,-87.66484,"casual",19
41.77937,-87.66484,"member",18
41.77938,-87.64462,"casual",15
41.77938,-87.64462,"member",13
41.77984,-87.63477,"casual",18
