"start_lat","start_lng","member_casual","rideable_type","n"
41.71,-87.56,"casual","electric_bike",11
41.71,-87.56,"member","electric_bike",10
41.71,-87.54,"casual","electric_bike",27
41.71,-87.54,"member","electric_bike",4
41.71,-87.53,"casual","electric_bike",11
41.71,-87.53,"member","electric_bike",17
41.71216,-87.66773,"casual","classic_bike",72
41.71216,-87.66773,"casual","docked_bike",11
41.71216,-87.66773,"casual","electric_bike",153
41.71216,-87.66773,"member","classic_bike",45
41.71216,-87.66773,"member","electric_bike",46
41.71275,-87.53481,"casual","classic_bike",26
41.71275,-87.53481,"casual","docked_bike",7
41.71275,-87.53481,"casual","electric_bike",227
41.71275,-87.53481,"member","classic_bike",32
41.71275,-87.53481,"member","electric_bike",273
41.71332,-87.5511,"casual","classic_bike",28
41.71332,-87.5511,"casual","docked_bike",4
41.71332,-87.5511,"casual","electric_bike",16
41.71332,-87.5511,"member","classic_bike",18
41.71332,-87.5511,"member","electric_bike",61
41.7134,-87.56584,"casual","classic_bike",30
41.7134,-87.56584,"casual","docked_bike",3
41.7134,-87.56584,"casual","electric_bike",40
41.7134,-87.56584,"member","classic_bike",46
41.7134,-87.56584,"member","electric_bike",30
41.71371,-87.53084,"casual","classic_bike",75
41.71371,-87.53084,"casual","docked_bike",87
41.71371,-87.53084,"casual","electric_bike",29
41.71371,-87.53084,"member","classic_bike",56
41.71371,-87.53084,"member","electric_bike",29
41.71788,-87.56459,"casual","classic_bike",21
41.71788,-87.56459,"casual","docked_bike",7
41.71788,-87.56459,"casual","electric_bike",14
41.71788,-87.56459,"member","classic_bike",9
41.71788,-87.56459,"member","electric_bike",4
41.7187,-87.59704,"casual","classic_bike",18
41.7187,-87.59704,"casual","docked_bike",3
41.7187,-87.59704,"casual","electric_bike",43
41.7187,-87.59704,"member","classic_bike",13
41.7187,-87.59704,"member","electric_bike",134
41.71896,-87.6083,"casual","classic_bike",56
41.71896,-87.6083,"casual","docked_bike",10
41.71896,-87.6083,"casual","electric_bike",111
41.71896,-87.6083,"member","classic_bike",122
41.71896,-87.6083,"member","electric_bike",387
41.71971,-87.64302,"casual","classic_bike",36
41.71971,-87.64302,"casual","docked_bike",13
41.71971,-87.64302,"casual","electric_bike",51
41.71971,-87.64302,"member","classic_bike",136
41.71971,-87.64302,"member","electric_bike",120
41.72,-87.68,"casual","electric_bike",281
41.72,-87.68,"member","electric_bike",131
41.72,-87.67,"casual","electric_bike",59
41.72,-87.67,"member","electric_bike",47
41.72,-87.65,"casual","electric_bike",43
41.72,-87.65,"member","electric_bike",90
41.72,-87.64,"casual","electric_bike",45
41.72,-87.64,"member","electric_bike",80
41.72,-87.62,"casual","electric_bike",198
41.72,-87.62,"member","electric_bike",116
41.72,-87.6,"casual","electric_bike",40
41.72,-87.6,"member","electric_bike",72
41.72,-87.59,"casual","electric_bike",1
41.72,-87.58,"casual","electric_bike",28
41.72,-87.58,"member","electric_bike",25
41.72,-87.57,"casual","electric_bike",27
41.72,-87.57,"member","electric_bike",30
41.72,-87.54,"casual","electric_bike",45
41.72,-87.54,"member","electric_bike",9
41.72185,-87.62285,"casual","classic_bike",208
41.72185,-87.62285,"casual","docked_bike",19
41.72185,-87.62285,"casual","electric_bike",320
41.72185,-87.62285,"member","classic_bike",146
41.72185,-87.62285,"member","electric_bike",251
41.72229,-87.57897,"casual","classic_bike",45
41.72229,-87.57897,"casual","docked_bike",9
41.72229,-87.57897,"casual","electric_bike",20
41.72229,-87.57897,"member","classic_bike",33
41.72229,-87.57897,"member","electric_bike",13
41.72617,-87.56628,"casual","classic_bike",27
41.72617,-87.56628,"casual","docked_bike",1
41.72617,-87.56628,"casual","electric_bike",22
41.72617,-87.56628,"member","classic_bike",24
41.72617,-87.56628,"member","electric_bike",22
41.7268,-87.65429,"casual","classic_bike",44
41.7268,-87.65429,"casual","docked_bike",13
41.7268,-87.65429,"casual","electric_bike",141
41.7268,-87.65429,"member","classic_bike",46
41.7268,-87.65429,"member","electric_bike",184
41.72758,-87.63483,"casual","classic_bike",20
41.72758,-87.63483,"casual","electric_bike",89
41.72758,-87.63483,"member","classic_bike",1
41.72758,-87.63483,"member","electric_bike",43
41.7282,-87.5497,"casual","classic_bike",75
41.7282,-87.5497,"casual","docked_bike",9
41.7282,-87.5497,"casual","electric_bike",38
41.7282,-87.5497,"member","classic_bike",28
41.7282,-87.5497,"member","electric_bike",22
41.72823,-87.66752,"casual","classic_bike",60
41.72823,-87.66752,"casual","docked_bike",31
41.72823,-87.66752,"casual","electric_bike",92
41.72823,-87.66752,"member","classic_bike",36
41.72823,-87.66752,"member","electric_bike",39
41.72826,-87.5973,"casual","classic_bike",32
41.72826,-87.5973,"casual","docked_bike",1
41.72826,-87.5973,"casual","electric_bike",40
41.72826,-87.5973,"member","classic_bike",7
41.72826,-87.5973,"member","electric_bike",32
41.72929,-87.61103,"casual","classic_bike",41
41.72929,-87.61103,"casual","docked_bike",4
41.72929,-87.61103,"casual","electric_bike",25
41.72929,-87.61103,"member","classic_bike",14
41.72929,-87.61103,"member","electric_bike",20
41.73,-87.68,"casual","electric_bike",89
41.73,-87.68,"member","electric_bike",16
41.73,-87.66,"casual","electric_bike",32
41.73,-87.66,"member","electric_bike",27
41.73,-87.65,"casual","electric_bike",13
41.73,-87.65,"member","electric_bike",95
41.73,-87.61,"casual","electric_bike",27
41.73,-87.61,"member","electric_bike",28
41.73,-87.6,"casual","electric_bike",66
41.73,-87.6,"member","electric_bike",9
41.73,-87.56,"casual","electric_bike",29
41.73,-87.56,"member","electric_bike",15
41.73,-87.55,"casual","electric_bike",78
41.73,-87.55,"member","electric_bike",151
41.73,-87.54,"casual","electric_bike",20
41.73,-87.54,"member","electric_bike",9
41.73139,-87.58574,"casual","classic_bike",55
41.73139,-87.58574,"casual","docked_bike",11
41.73139,-87.58574,"casual","electric_bike",82
41.73139,-87.58574,"member","classic_bike",19
41.73139,-87.58574,"member","electric_bike",37
41.73238,-87.65807,"casual","classic_bike",30
